@RELATION Models/svm
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Voice,Noise}

@DATA
0.034138,0.028989,3.203243,0.130242,0.205641,0.072364,0.013168,0.034114,-27.238009,1.587394,-0.910813,0.163876,0.663495,0.739202,0.328123,0.197744,0.006265,-0.231375,0.453719,0.105834,-0.130246,0.001987,0.000839,0.011410,0.001646,0.019532,0.006280,0.048563,0.005334,0.000808,0.004850,0.005889,0.003741,0.021009,0.006061,0.023824,0.125043,0.026645,0.029257,0.054773,0.014876,0.010361,1.668720,0.543312,0.523648,0.405696,0.353403,0.384408,0.335176,0.222653,0.191491,0.313684,0.279539,0.255136,0.129383,0.004474,0.001063,0.020396,0.002207,0.026278,0.009974,0.046951,0.013266,0.001126,0.011505,0.006284,0.011487,0.018435,Voice
0.065880,0.003968,3.042946,0.188721,0.248305,0.323229,0.010580,0.046954,-29.231931,2.826790,0.021952,0.060436,-0.284640,0.017795,-0.021262,0.039133,-0.099277,-0.046596,-0.111932,-0.057234,-0.143180,0.042931,0.005734,0.022013,0.014525,0.030156,0.018144,0.030953,0.003191,0.009258,0.018604,0.028230,0.012725,0.025998,0.041302,0.008083,0.338754,0.074699,0.046391,0.320009,0.011347,0.041515,2.201993,0.671465,0.591501,0.430830,0.364451,0.314919,0.279379,0.290966,0.240569,0.228650,0.240847,0.229395,0.238506,0.036988,0.008493,0.025191,0.022478,0.030733,0.031188,0.028100,0.007373,0.017287,0.021332,0.033910,0.014834,0.012444,Voice
0.033408,0.049764,3.188368,0.127122,0.203479,0.076991,0.013828,0.034444,-26.181664,1.584332,-1.048646,0.070964,0.853395,0.830691,0.028881,0.209853,0.149314,0.048708,0.088859,0.086202,-0.027458,0.002207,0.001828,0.004770,0.005499,0.019108,0.021008,0.040051,0.010901,0.001572,0.005013,0.016144,0.012280,0.027042,0.005607,0.040395,0.147682,0.028065,0.030731,0.064445,0.015355,0.013067,1.662913,0.578295,0.535241,0.419764,0.430405,0.431985,0.366880,0.221323,0.199363,0.344693,0.348657,0.274848,0.140653,0.004645,0.003242,0.009214,0.007466,0.025569,0.016095,0.046112,0.023120,0.002850,0.010189,0.022420,0.021430,0.019501,Voice
0.302500,0.030603,3.241561,0.407416,0.300234,2.273210,0.000759,0.691885,-22.917542,1.411419,0.289190,0.121818,0.013932,0.165628,-0.112445,0.020477,-0.092672,-0.029859,0.051038,-0.029994,0.102454,0.005196,0.002024,0.052996,0.007103,0.010194,0.009633,0.077189,0.001548,0.002733,0.005435,0.012944,0.002908,0.026423,0.051709,0.013716,0.069205,0.011051,0.003094,0.396817,0.000357,0.101001,0.160866,0.144546,0.133128,0.133361,0.130849,0.126649,0.131148,0.131809,0.123306,0.131585,0.124971,0.122601,0.122475,0.003269,0.001298,0.059521,0.004857,0.005676,0.006433,0.038712,0.001032,0.001888,0.003005,0.007788,0.001919,0.015432,Noise
0.003235,0.171445,2.870686,0.083597,0.185999,0.013839,0.041975,0.001445,-28.191312,2.330629,0.263887,0.466184,0.181742,0.226961,0.109237,0.128926,0.067341,0.086930,0.049519,0.063709,0.037940,0.000405,0.000083,0.033874,0.000282,0.000899,0.000224,0.406557,0.000051,0.000140,0.000477,0.002536,0.000096,0.114350,0.006547,0.108941,0.193841,0.038627,0.039085,0.023861,0.052614,0.001621,2.597589,0.281021,0.121960,0.090509,0.086261,0.078418,0.076072,0.072970,0.069584,0.070031,0.068793,0.067026,0.064294,0.000760,0.000173,0.056386,0.000522,0.001600,0.000424,0.109357,0.000115,0.000277,0.000834,0.004209,0.000194,0.026749,Noise
0.051234,0.026497,2.874586,0.209221,0.267625,0.302938,0.018323,0.070137,-30.943183,2.028187,0.413264,0.413630,0.205845,0.212999,0.120526,0.130756,0.074310,0.085561,0.038420,0.043852,0.013204,0.001086,0.000222,0.204068,0.000668,0.002248,0.000520,0.202485,0.000155,0.000346,0.001089,0.007045,0.000250,0.093478,0.046993,0.039981,0.237982,0.086640,0.042928,0.262486,0.018712,0.069351,2.986157,0.404906,0.177325,0.120453,0.106375,0.102148,0.098791,0.095631,0.094368,0.093560,0.097501,0.097150,0.094565,0.001455,0.000290,0.155459,0.000872,0.002725,0.000660,0.125168,0.000196,0.000431,0.001382,0.007834,0.000316,0.022651,Noise
0.325978,0.005347,3.266785,0.416625,0.301086,2.436155,0.000595,0.742464,-25.110385,1.462558,0.284581,0.147504,0.054974,0.185865,-0.109814,-0.010885,-0.099719,-0.059807,0.026012,-0.041609,0.093649,0.005513,0.002061,0.023100,0.007093,0.009957,0.010250,0.073066,0.001658,0.002931,0.005731,0.018579,0.002943,0.020386,0.020089,0.000546,0.028289,0.006060,0.002160,0.146246,0.000077,0.021542,0.153037,0.137918,0.133620,0.135159,0.134576,0.131026,0.133739,0.132604,0.130910,0.130872,0.127398,0.127558,0.124117,0.003342,0.001183,0.011724,0.004635,0.005136,0.006303,0.030714,0.001050,0.001665,0.003024,0.009160,0.001673,0.007452,Noise
0.100572,0.012900,2.810072,0.241254,0.273826,0.593198,0.023036,0.216930,-30.175927,2.124504,0.291172,0.387137,0.170023,0.175274,0.093835,0.145360,0.047585,0.025779,0.082539,0.055392,0.025577,0.001033,0.000266,0.035326,0.002097,0.004119,0.000647,0.292381,0.000270,0.000393,0.001855,0.005230,0.000384,0.080897,0.122568,0.014805,0.344549,0.137620,0.030681,0.815333,0.035226,0.323722,2.819834,0.382550,0.108566,0.112667,0.089333,0.096485,0.084915,0.086792,0.085917,0.101891,0.085654,0.081245,0.081472,0.001099,0.000322,0.036958,0.003028,0.005235,0.000717,0.083877,0.000344,0.000423,0.001963,0.004656,0.000450,0.023231,Noise
0.089692,0.076539,2.911374,0.285614,0.306302,0.441572,0.012517,0.157446,-28.750160,2.122529,0.312605,0.372322,0.180064,0.180936,0.104973,0.144613,0.055332,0.032352,0.084707,0.053223,0.026660,0.000645,0.000168,0.050700,0.000999,0.002074,0.000410,0.353564,0.000153,0.000253,0.000963,0.003490,0.000223,0.100625,0.110889,0.068472,0.207085,0.116372,0.020059,0.622635,0.018028,0.275182,1.968343,0.303200,0.131049,0.131977,0.107691,0.107232,0.098692,0.100262,0.098508,0.104578,0.095386,0.090628,0.091439,0.000906,0.000255,0.067819,0.001670,0.002959,0.000582,0.117028,0.000231,0.000365,0.001194,0.003889,0.000334,0.029217,Noise
0.192265,0.009916,3.125734,0.332749,0.305230,1.245520,0.002109,0.422224,-26.748890,1.809528,0.130410,0.250916,-0.008227,0.320602,-0.108405,0.086434,-0.082207,0.005354,0.103544,-0.049773,0.176088,0.006402,0.001917,0.046300,0.010510,0.014689,0.009116,0.131431,0.001500,0.003911,0.007173,0.023006,0.003521,0.040280,0.049017,0.009137,0.111886,0.027341,0.005005,0.348346,0.001930,0.139091,0.406382,0.197116,0.149013,0.145248,0.131637,0.136283,0.136239,0.131739,0.142956,0.134930,0.116917,0.124012,0.120234,0.004525,0.001338,0.029859,0.008150,0.009449,0.007528,0.062931,0.001251,0.002556,0.004646,0.020890,0.002248,0.016762,Noise
0.218247,0.025117,3.021381,0.404670,0.309196,1.322943,0.004307,0.470921,-29.067676,1.824010,0.325535,0.355752,0.170823,0.178163,0.121671,0.150940,0.042243,0.018259,0.093612,0.057375,0.012157,0.001344,0.000429,0.124602,0.002658,0.005701,0.000925,0.187711,0.000439,0.000589,0.002190,0.009652,0.000562,0.067736,0.145619,0.055879,0.261571,0.117963,0.018919,0.973196,0.006095,0.375770,1.993643,0.381892,0.128028,0.136970,0.121681,0.118197,0.116281,0.113130,0.113224,0.116719,0.108340,0.107956,0.108313,0.001083,0.000374,0.120465,0.002541,0.004689,0.000767,0.074070,0.000401,0.000501,0.001615,0.010538,0.000478,0.022306,Noise
0.014047,0.023791,2.903571,0.142209,0.238475,0.078579,0.034718,0.024115,-30.099670,2.125818,0.410278,0.435494,0.217968,0.229533,0.130018,0.139682,0.073782,0.099498,0.035663,0.076389,0.019296,0.000804,0.000138,0.219643,0.000503,0.001806,0.000382,0.192807,0.000083,0.000241,0.000845,0.006938,0.000157,0.098115,0.013525,0.059337,0.233653,0.040996,0.031141,0.082055,0.041220,0.028218,2.849304,0.354587,0.213748,0.107728,0.116594,0.099481,0.101951,0.094402,0.096509,0.095117,0.092801,0.096065,0.092168,0.000918,0.000158,0.180758,0.000561,0.001932,0.000430,0.138786,0.000095,0.000286,0.000951,0.007470,0.000182,0.024862,Noise
0.177619,0.034829,3.063583,0.355297,0.307803,1.070866,0.006258,0.343728,-29.213527,1.954704,0.303410,0.339595,0.148020,0.167068,0.112787,0.128122,0.038025,0.040762,0.072559,0.056906,0.018057,0.001046,0.000335,0.089886,0.002373,0.004085,0.000736,0.252819,0.000364,0.000456,0.001889,0.004746,0.000463,0.080965,0.168034,0.040110,0.197027,0.126651,0.014359,1.095240,0.009163,0.383361,1.915763,0.382722,0.122402,0.143188,0.117579,0.115783,0.105987,0.103484,0.107355,0.106944,0.100450,0.099379,0.100262,0.001048,0.000372,0.109456,0.002900,0.004379,0.000787,0.130815,0.000408,0.000480,0.001831,0.004181,0.000493,0.033600,Noise
0.137577,0.011435,3.069633,0.310932,0.300109,0.945107,0.005548,0.288861,-28.758746,1.816849,0.263656,0.259751,0.096805,0.242782,-0.054206,0.064127,-0.042589,0.008110,0.069608,-0.015897,0.128395,0.003115,0.000942,0.119264,0.004222,0.006194,0.005488,0.196583,0.000769,0.001449,0.003352,0.009872,0.001418,0.072505,0.115891,0.016249,0.197042,0.079880,0.010743,0.854187,0.009951,0.297951,1.037951,0.320936,0.134685,0.167082,0.136738,0.124215,0.146007,0.132926,0.134927,0.128897,0.118449,0.119454,0.120013,0.003536,0.001133,0.133184,0.005420,0.006347,0.006816,0.142652,0.001039,0.001779,0.003574,0.009126,0.001727,0.038589,Noise
0.259674,0.000498,3.227996,0.372494,0.283471,2.228540,0.000935,0.571839,-29.039274,0.833328,0.592430,0.321195,0.215802,0.084487,0.069236,0.155174,-0.004986,0.002938,0.082987,-0.039799,-0.013434,0.004356,0.001397,0.031357,0.004388,0.007292,0.002577,0.104985,0.001176,0.001867,0.004420,0.016094,0.001481,0.030377,0.042930,0.000196,0.094329,0.013196,0.003902,0.390196,0.000534,0.101835,0.284267,0.183638,0.149602,0.146888,0.145477,0.140639,0.137979,0.144089,0.139136,0.140618,0.136094,0.130932,0.133764,0.002947,0.000775,0.021912,0.002781,0.004980,0.001593,0.069493,0.000662,0.001111,0.003161,0.009942,0.000834,0.018112,Noise
0.304111,0.033183,3.246770,0.406253,0.300452,2.276685,0.000745,0.694879,-22.734018,1.429264,0.314218,0.114643,-0.019773,0.192047,-0.117457,-0.019130,-0.114961,-0.028429,0.065852,-0.055596,0.056144,0.006936,0.001958,0.035876,0.007269,0.009806,0.010163,0.090581,0.001792,0.002688,0.006063,0.010310,0.002593,0.026540,0.037959,0.011366,0.058575,0.009124,0.003001,0.308978,0.000332,0.076324,0.183868,0.138939,0.119905,0.118864,0.136868,0.122968,0.125725,0.144637,0.115412,0.100418,0.130548,0.132832,0.123021,0.005277,0.001109,0.029005,0.006067,0.004878,0.006060,0.052243,0.001174,0.001664,0.002978,0.005841,0.001446,0.014045,Noise
0.191023,0.024823,3.147371,0.347184,0.308296,1.256664,0.001141,0.393476,-23.406967,1.748957,0.103807,0.227995,-0.039428,0.316331,-0.168494,0.065729,-0.115778,-0.006471,0.098477,-0.068415,0.165134,0.006327,0.001903,0.062347,0.010491,0.012171,0.008227,0.148688,0.001489,0.003823,0.006924,0.016159,0.003327,0.045003,0.058679,0.013805,0.090298,0.014379,0.001935,0.377717,0.000644,0.192656,0.186331,0.139676,0.128015,0.132780,0.130058,0.125240,0.132126,0.128194,0.131871,0.124784,0.125587,0.122456,0.123375,0.004735,0.001460,0.042451,0.008097,0.007724,0.006449,0.092665,0.001292,0.002692,0.004524,0.010889,0.002199,0.023891,Noise
